exerciseId,sessionId,participantId,step,time,state
1,1,1,1,2.7,1
1,1,1,2,3.2,1
1,1,1,3,4.8,1
1,1,1,4,5.1,1
1,1,1,5,5.6,1
1,1,1,6,5.8,1
1,1,1,7,6.3,1
1,1,1,8,6.6,1
1,1,1,9,7.0,1
1,1,1,10,7.4,2
3,3,4,1,2.6,1
3,3,4,2,3.1,1
3,3,4,3,3.6,1
3,3,4,4,4.1,1
3,3,4,5,4.6,1
3,3,4,6,4.9,1
3,3,4,7,5.4,1
3,3,4,8,6.0,1
3,3,4,9,6.5,1
3,3,4,10,7.0,2
3,1,1,1,3.2,1
3,1,1,2,4.4,1
3,1,1,3,4.9,1
3,1,1,4,5.4,1
3,1,1,5,5.8,1
3,1,1,6,6.3,1
3,1,1,7,6.6,1
3,1,1,8,7.1,1
3,1,1,9,7.5,1
3,1,1,10,7.9,2
4,1,16,1,2.7,1
4,1,16,2,3.4,1
4,1,16,3,4.0,1
4,1,16,4,4.5,1
4,1,16,5,4.9,1
4,1,16,6,5.3,1
4,1,16,7,5.6,1
4,1,16,8,6.1,1
4,1,16,9,6.4,1
4,1,16,10,6.9,2
4,1,16,1,2.5,1
4,1,16,2,4.1,1
4,1,16,3,4.6,1
4,1,16,4,5.3,1
1,1,10,1,14.7,1
1,1,10,2,15.2,1
1,1,10,3,15.8,1
1,1,10,4,16.2,1
1,1,10,5,16.7,2
1,1,1,1,5.5,1
1,1,1,2,6.4,1
1,1,1,3,7.2,1
1,1,1,4,7.7,1
1,1,1,5,8.2,1
1,1,1,6,8.6,1
1,1,1,7,9.1,1
1,1,1,8,9.5,1
1,1,1,9,10.0,1
1,1,1,10,10.6,2
1,1,1,1,4.3,1
1,1,1,2,4.9,1
1,1,1,3,5.4,1
1,1,1,4,5.8,1
1,1,1,5,6.2,1
1,1,1,6,6.6,1
1,1,1,7,7.0,1
1,1,1,8,7.3,1
1,1,1,9,7.7,1
1,1,1,10,8.2,2
1,1,1,1,4.7,1
1,1,1,2,5.1,1
1,1,1,3,5.7,1
1,1,1,4,6.1,1
1,1,1,5,6.5,1
1,1,1,6,6.9,1
1,1,1,7,7.3,1
1,1,1,8,7.7,1
1,1,1,9,8.0,1
1,1,1,10,8.1,2
1,1,1,1,4.6,1
1,1,1,2,18.4,1
1,1,1,3,19.2,1
1,1,1,4,19.6,1
1,1,1,5,20.0,1
1,1,1,6,20.3,1
1,1,1,7,20.6,1
1,1,1,8,20.9,1
1,1,1,9,21.2,1
1,1,1,10,21.6,2
1,1,1,1,5.5,1
1,1,1,2,6.0,1
1,1,1,3,6.4,1
1,1,1,4,6.8,1
1,1,1,5,7.3,1
1,1,1,6,7.7,1
1,1,1,7,8.1,1
1,1,1,8,8.5,1
1,1,1,9,8.9,1
1,1,1,10,9.4,2
1,1,1,1,5.7,1
1,1,1,2,6.2,1
1,1,1,3,6.6,1
1,1,1,4,6.8,1
1,1,1,5,7.1,1
1,1,1,6,7.4,1
1,1,1,7,7.7,1
1,1,1,8,7.9,1
1,1,1,9,8.2,1
1,1,1,10,8.4,2
1,1,1,2,3.2,1
1,1,1,4,4.4,1
1,1,1,6,5.9,1
1,1,1,8,7.1,1
1,1,1,10,7.6,2
1,1,1,1,0.0,1
1,1,1,3,3.2,1
1,1,1,5,9.2,1
1,1,1,7,10.1,1
1,1,1,9,10.8,1
1,1,1,10,11.4,2
1,1,1,1,0.0,1
1,1,1,3,2.4,1
1,1,1,5,2.9,1
1,1,1,7,3.8,1
1,1,1,9,4.2,1
1,1,1,10,4.9,2
1,1,1,1,0.0,1
1,1,1,1,0.0,1
1,1,1,1,0.0,1
1,1,1,3,11.0,1
1,1,1,5,14.2,1
1,1,1,1,0.0,1
1,1,1,1,0.0,1
1,1,1,1,0.0,1
1,1,1,2,5.3,1
1,1,1,4,15.3,1
1,1,1,6,16.7,1
1,1,1,8,17.8,1
1,1,1,10,18.9,2
1,1,1,1,0.0,1
1,1,1,3,4.3,1
1,1,1,2,4.5,1
1,1,1,4,9.7,1
1,1,1,6,12.1,1
1,1,1,8,13.5,1
1,1,1,10,14.5,2
1,1,1,1,0.0,1
1,1,1,3,9.9,1
1,1,1,5,11.1,1
1,1,1,7,11.8,1
1,1,1,9,12.3,1
1,1,1,10,12.6,2
1,1,1,2,4.7,1
1,1,1,4,14.1,1
1,1,1,6,15.7,1
1,1,1,8,16.9,1
1,1,1,10,17.9,2
1,6,1,1,0.0,1
1,6,1,1,0.0,1
1,6,1,1,0.0,1
1,1,1,2,6.5,1
1,1,1,2,10.3,1
1,1,1,2,6.1,1
1,1,1,4,32.5,1
1,1,1,6,35.8,1
1,1,1,8,38.1,1
1,1,1,10,39.0,2
1,1,1,2,30.4,1
1,1,1,2,11.2,1
1,1,1,2,10.1,1
1,1,1,2,5.6,1
1,1,1,1,3.1,1
1,1,1,1,8.2,1
1,1,1,1,13.5,1
1,1,1,2,13.8,1
1,1,1,2,10.0,1
1,1,1,2,10.9,1
1,1,1,1,0.0,1
1,1,1,1,7.8,1
1,1,1,2,7.8,1
1,1,1,3,12.0,1
1,1,1,4,12.0,1
1,1,1,5,14.8,1
1,1,1,6,14.8,1
1,1,1,7,15.1,1
1,1,1,8,15.1,1
1,1,1,9,15.4,1
1,1,1,10,15.4,2
1,1,1,1,2.2,1
1,1,1,2,2.3,1
1,1,1,3,3.8,1
1,1,1,4,3.8,1
1,1,1,5,6.8,1
1,1,1,6,6.9,1
1,1,1,7,10.3,1
1,1,1,8,10.3,1
1,1,1,9,13.0,1
1,1,1,10,13.0,2
1,1,1,1,4.2,1
